,Transformation,AAM,Class
235,COOH-Ni-photoredox,[C:1]([C:6]([H:33])([H:34])[H:35])([C:13]([H:40])([H:41])[H:42])([C:16]([H:43])([H:44])[H:45])[O:22][C:18]([C:15]([N:14]1[C:12]([H:38])([H:39])[C:11]([C:21]([H:52])([H:53])[H:54])([H:37])[N:10]([c:4]2[n:3][c:2]([H:32])[c:8]([Br:9])[c:7]([H:36])[n:5]2)[C:20]([H:50])([H:51])[C:19]1([H:48])[H:49])=[O:17])([H:46])[H:47].[C:23]1([H:55])([H:56])[C:28]([H:59])([H:60])[C:30]([H:63])([H:64])[C:31]([H:65])([H:66])[C:27]([C:25]([O:24][H:57])=[O:26])([H:58])[C:29]1([H:61])[H:62]>>[Br:9][C:25]([O:24][H:57])=[O:26].[C:1]([C:6]([H:33])([H:34])[H:35])([C:13]([H:40])([H:41])[H:42])([C:16]([H:43])([H:44])[H:45])[O:22][C:18]([C:15]([N:14]1[C:12]([H:38])([H:39])[C:11]([C:21]([H:52])([H:53])[H:54])([H:37])[N:10]([c:4]2[n:3][c:2]([H:32])[c:8]([C:27]3([H:58])[C:29]([H:61])([H:62])[C:23]([H:55])([H:56])[C:28]([H:59])([H:60])[C:30]([H:63])([H:64])[C:31]3([H:65])[H:66])[c:7]([H:36])[n:5]2)[C:20]([H:50])([H:51])[C:19]1([H:48])[H:49])=[O:17])([H:46])[H:47],0
236,BF3K-Pd-Suzuki,[C:1]([C:6]([H:35])([H:36])[H:37])([C:13]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[O:22][C:18]([C:15]([N:14]1[C:12]([H:40])([H:41])[C:11]([C:21]([H:54])([H:55])[H:56])([H:39])[N:10]([c:4]2[n:3][c:2]([H:34])[c:8]([Br:9])[c:7]([H:38])[n:5]2)[C:20]([H:52])([H:53])[C:19]1([H:50])[H:51])=[O:17])([H:48])[H:49].[C:23]1([B-:24]([F:25])([F:26])[F:27])([H:57])[C:29]([H:60])([H:61])[C:32]([H:66])([H:67])[C:28]([H:58])([H:59])[C:30]([H:62])([H:63])[C:31]1([H:64])[H:65]>>[Br:9][B-:24]([F:25])([F:26])[F:27].[C:1]([C:6]([H:35])([H:36])[H:37])([C:13]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[O:22][C:18]([C:15]([N:14]1[C:12]([H:40])([H:41])[C:11]([C:21]([H:54])([H:55])[H:56])([H:39])[N:10]([c:4]2[n:3][c:2]([H:34])[c:8]([C:23]3([H:57])[C:29]([H:60])([H:61])[C:32]([H:66])([H:67])[C:28]([H:58])([H:59])[C:30]([H:62])([H:63])[C:31]3([H:64])[H:65])[c:7]([H:38])[n:5]2)[C:20]([H:52])([H:53])[C:19]1([H:50])[H:51])=[O:17])([H:48])[H:49],0
237,MIDA-Pd-Suzuki,[C:1]([C:6]([H:41])([H:42])[H:43])([C:13]([H:48])([H:49])[H:50])([C:16]([H:51])([H:52])[H:53])[O:22][C:18]([C:15]([N:14]1[C:12]([H:46])([H:47])[C:11]([C:21]([H:60])([H:61])[H:62])([H:45])[N:10]([c:4]2[n:3][c:2]([H:40])[c:8]([Br:9])[c:7]([H:44])[n:5]2)[C:20]([H:58])([H:59])[C:19]1([H:56])[H:57])=[O:17])([H:54])[H:55].[C:23]1([B:24]2[O:25][C:26](=[O:27])[C:28]([H:64])([H:65])[N:30]([C:39]([H:78])([H:79])[H:80])[C:31]([H:68])([H:69])[C:34](=[O:35])[O:37]2)([H:63])[C:29]([H:66])([H:67])[C:32]([H:70])([H:71])[C:33]([H:72])([H:73])[C:36]([H:74])([H:75])[C:38]1([H:76])[H:77]>>[Br:9][B:24]1[O:25][C:26](=[O:27])[C:28]([H:64])([H:65])[N:30]([C:39]([H:78])([H:79])[H:80])[C:31]([H:68])([H:69])[C:34](=[O:35])[O:37]1.[C:1]([C:6]([H:41])([H:42])[H:43])([C:13]([H:48])([H:49])[H:50])([C:16]([H:51])([H:52])[H:53])[O:22][C:18]([C:15]([N:14]1[C:12]([H:46])([H:47])[C:11]([C:21]([H:60])([H:61])[H:62])([H:45])[N:10]([c:4]2[n:3][c:2]([H:40])[c:8]([C:23]3([H:63])[C:29]([H:66])([H:67])[C:32]([H:70])([H:71])[C:33]([H:72])([H:73])[C:36]([H:74])([H:75])[C:38]3([H:76])[H:77])[c:7]([H:44])[n:5]2)[C:20]([H:58])([H:59])[C:19]1([H:56])[H:57])=[O:17])([H:54])[H:55],0
238,CEC-Ni-Weix,[C:1]([C:6]([H:31])([H:32])[H:33])([C:13]([H:38])([H:39])[H:40])([C:16]([H:41])([H:42])[H:43])[O:22][C:18]([C:15]([N:14]1[C:12]([H:36])([H:37])[C:11]([C:21]([H:50])([H:51])[H:52])([H:35])[N:10]([c:4]2[n:3][c:2]([H:30])[c:8]([Br:9])[c:7]([H:34])[n:5]2)[C:20]([H:48])([H:49])[C:19]1([H:46])[H:47])=[O:17])([H:44])[H:45].[C:23]1([Br:24])([H:53])[C:26]([H:56])([H:57])[C:29]([H:62])([H:63])[C:25]([H:54])([H:55])[C:27]([H:58])([H:59])[C:28]1([H:60])[H:61]>>[Br:9][Br:24].[C:1]([C:6]([H:31])([H:32])[H:33])([C:13]([H:38])([H:39])[H:40])([C:16]([H:41])([H:42])[H:43])[O:22][C:18]([C:15]([N:14]1[C:12]([H:36])([H:37])[C:11]([C:21]([H:50])([H:51])[H:52])([H:35])[N:10]([c:4]2[n:3][c:2]([H:30])[c:8]([C:23]3([H:53])[C:26]([H:56])([H:57])[C:29]([H:62])([H:63])[C:25]([H:54])([H:55])[C:27]([H:58])([H:59])[C:28]3([H:60])[H:61])[c:7]([H:34])[n:5]2)[C:20]([H:48])([H:49])[C:19]1([H:46])[H:47])=[O:17])([H:44])[H:45],0
239,Negishi-Pd,[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([Br:9])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46].[C:23]1([Zn:24][Br:25])([H:54])[C:27]([H:57])([H:58])[C:30]([H:63])([H:64])[C:26]([H:55])([H:56])[C:28]([H:59])([H:60])[C:29]1([H:61])[H:62]>>[Br:9][Zn:24][Br:25].[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([C:23]3([H:54])[C:27]([H:57])([H:58])[C:30]([H:63])([H:64])[C:26]([H:55])([H:56])[C:28]([H:59])([H:60])[C:29]3([H:61])[H:62])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46],0
240,BF3K-Ni-photoredox,[C:16]1([B-:17]([F:18])([F:19])[F:20])([H:34])[C:22]([H:37])([H:38])[C:25]([H:43])([H:44])[C:21]([H:35])([H:36])[C:23]([H:39])([H:40])[C:24]1([H:41])[H:42].[c:1]1([H:27])[c:2]([Br:3])[c:4]([H:28])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:31])[C:15]([H:32])([H:33])[O:14][C:11]([H:29])([H:30])[C:7]3=[O:10]>>[Br:3][B-:17]([F:18])([F:19])[F:20].[c:1]1([H:27])[c:2]([C:16]2([H:34])[C:22]([H:37])([H:38])[C:25]([H:43])([H:44])[C:21]([H:35])([H:36])[C:23]([H:39])([H:40])[C:24]2([H:41])[H:42])[c:4]([H:28])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:31])[C:15]([H:32])([H:33])[O:14][C:11]([H:29])([H:30])[C:7]3=[O:10],0
241,CEC-Ni-photoredox,[C:16]1([Br:17])([H:30])[C:19]([H:33])([H:34])[C:22]([H:39])([H:40])[C:18]([H:31])([H:32])[C:20]([H:35])([H:36])[C:21]1([H:37])[H:38].[c:1]1([H:23])[c:2]([Br:3])[c:4]([H:24])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:27])[C:15]([H:28])([H:29])[O:14][C:11]([H:25])([H:26])[C:7]3=[O:10]>>[Br:3][Br:17].[c:1]1([H:23])[c:2]([C:16]2([H:30])[C:19]([H:33])([H:34])[C:22]([H:39])([H:40])[C:18]([H:31])([H:32])[C:20]([H:35])([H:36])[C:21]2([H:37])[H:38])[c:4]([H:24])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:27])[C:15]([H:28])([H:29])[O:14][C:11]([H:25])([H:26])[C:7]3=[O:10],0
242,COOH-Ni-photoredox,[C:16]1([H:32])([H:33])[C:21]([H:36])([H:37])[C:23]([H:40])([H:41])[C:24]([H:42])([H:43])[C:20]([C:18]([O:17][H:34])=[O:19])([H:35])[C:22]1([H:38])[H:39].[c:1]1([H:25])[c:2]([Br:3])[c:4]([H:26])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:29])[C:15]([H:30])([H:31])[O:14][C:11]([H:27])([H:28])[C:7]3=[O:10]>>[Br:3][C:18]([O:17][H:34])=[O:19].[c:1]1([H:25])[c:2]([C:20]2([H:35])[C:22]([H:38])([H:39])[C:16]([H:32])([H:33])[C:21]([H:36])([H:37])[C:23]([H:40])([H:41])[C:24]2([H:42])[H:43])[c:4]([H:26])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:29])[C:15]([H:30])([H:31])[O:14][C:11]([H:27])([H:28])[C:7]3=[O:10],0
243,BF3K-Pd-Suzuki,[C:16]1([B-:17]([F:18])([F:19])[F:20])([H:34])[C:22]([H:37])([H:38])[C:25]([H:43])([H:44])[C:21]([H:35])([H:36])[C:23]([H:39])([H:40])[C:24]1([H:41])[H:42].[c:1]1([H:27])[c:2]([Br:3])[c:4]([H:28])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:31])[C:15]([H:32])([H:33])[O:14][C:11]([H:29])([H:30])[C:7]3=[O:10]>>[Br:3][B-:17]([F:18])([F:19])[F:20].[c:1]1([H:27])[c:2]([C:16]2([H:34])[C:22]([H:37])([H:38])[C:25]([H:43])([H:44])[C:21]([H:35])([H:36])[C:23]([H:39])([H:40])[C:24]2([H:41])[H:42])[c:4]([H:28])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:31])[C:15]([H:32])([H:33])[O:14][C:11]([H:29])([H:30])[C:7]3=[O:10],0
244,MIDA-Pd-Suzuki,[C:1]1([B:2]2[O:3][C:4](=[O:5])[C:6]([H:34])([H:35])[N:8]([C:17]([H:48])([H:49])[H:50])[C:9]([H:38])([H:39])[C:12](=[O:13])[O:15]2)([H:33])[C:7]([H:36])([H:37])[C:10]([H:40])([H:41])[C:11]([H:42])([H:43])[C:14]([H:44])([H:45])[C:16]1([H:46])[H:47].[c:18]1([H:51])[c:19]([Br:20])[c:21]([H:52])[n:22]2[c:23]3[c:25]([n:26][c:29]2[c:30]1[H:55])[C:32]([H:56])([H:57])[O:31][C:28]([H:53])([H:54])[C:24]3=[O:27]>>[B:2]1([Br:20])[O:3][C:4](=[O:5])[C:6]([H:34])([H:35])[N:8]([C:17]([H:48])([H:49])[H:50])[C:9]([H:38])([H:39])[C:12](=[O:13])[O:15]1.[C:1]1([c:19]2[c:18]([H:51])[c:30]([H:55])[c:29]3[n:22]([c:21]2[H:52])[c:23]2[c:25]([n:26]3)[C:32]([H:56])([H:57])[O:31][C:28]([H:53])([H:54])[C:24]2=[O:27])([H:33])[C:7]([H:36])([H:37])[C:10]([H:40])([H:41])[C:11]([H:42])([H:43])[C:14]([H:44])([H:45])[C:16]1([H:46])[H:47],0
245,CEC-Ni-Weix,[C:16]1([Br:17])([H:30])[C:19]([H:33])([H:34])[C:22]([H:39])([H:40])[C:18]([H:31])([H:32])[C:20]([H:35])([H:36])[C:21]1([H:37])[H:38].[c:1]1([H:23])[c:2]([Br:3])[c:4]([H:24])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:27])[C:15]([H:28])([H:29])[O:14][C:11]([H:25])([H:26])[C:7]3=[O:10]>>[Br:3][Br:17].[c:1]1([H:23])[c:2]([C:16]2([H:30])[C:19]([H:33])([H:34])[C:22]([H:39])([H:40])[C:18]([H:31])([H:32])[C:20]([H:35])([H:36])[C:21]2([H:37])[H:38])[c:4]([H:24])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:27])[C:15]([H:28])([H:29])[O:14][C:11]([H:25])([H:26])[C:7]3=[O:10],0
246,Negishi-Pd,[C:16]1([Zn:17][Br:18])([H:31])[C:20]([H:34])([H:35])[C:23]([H:40])([H:41])[C:19]([H:32])([H:33])[C:21]([H:36])([H:37])[C:22]1([H:38])[H:39].[c:1]1([H:24])[c:2]([Br:3])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10]>>[Br:3][Zn:17][Br:18].[c:1]1([H:24])[c:2]([C:16]2([H:31])[C:20]([H:34])([H:35])[C:23]([H:40])([H:41])[C:19]([H:32])([H:33])[C:21]([H:36])([H:37])[C:22]2([H:38])[H:39])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10],0
247,BF3K-Ni-photoredox,[C:13]1([B-:17]([F:18])([F:19])[F:20])([H:31])[O:14][C:16]([H:34])([H:35])[C:21]([H:36])([H:37])[C:22]([H:38])([H:39])[C:15]1([H:32])[H:33].[n:1]1[c:5]([H:25])[c:7]([H:27])[c:11]([H:30])[n:12]1-[c:10]1[c:2]([H:24])[c:3]([Br:4])[c:6]([H:26])[c:8]([H:28])[c:9]1[H:29]>>[Br:4][B-:17]([F:18])([F:19])[F:20].[n:1]1[c:5]([H:25])[c:7]([H:27])[c:11]([H:30])[n:12]1-[c:10]1[c:2]([H:24])[c:3]([C:13]2([H:31])[O:14][C:16]([H:34])([H:35])[C:21]([H:36])([H:37])[C:22]([H:38])([H:39])[C:15]2([H:32])[H:33])[c:6]([H:26])[c:8]([H:28])[c:9]1[H:29],0
248,COOH-Ni-photoredox,[O:13]([C:14](=[O:15])[C:17]1([H:32])[O:18][C:20]([H:35])([H:36])[C:16]([H:30])([H:31])[C:19]([H:33])([H:34])[C:21]1([H:37])[H:38])[H:29].[n:1]1[c:5]([H:23])[c:7]([H:25])[c:11]([H:28])[n:12]1-[c:10]1[c:2]([H:22])[c:3]([Br:4])[c:6]([H:24])[c:8]([H:26])[c:9]1[H:27]>>[Br:4][C:14]([O:13][H:29])=[O:15].[n:1]1[c:5]([H:23])[c:7]([H:25])[c:11]([H:28])[n:12]1-[c:10]1[c:2]([H:22])[c:3]([C:17]2([H:32])[O:18][C:20]([H:35])([H:36])[C:16]([H:30])([H:31])[C:19]([H:33])([H:34])[C:21]2([H:37])[H:38])[c:6]([H:24])[c:8]([H:26])[c:9]1[H:27],0
249,BF3K-Pd-Suzuki,[C:13]1([B-:17]([F:18])([F:19])[F:20])([H:31])[O:14][C:16]([H:34])([H:35])[C:21]([H:36])([H:37])[C:22]([H:38])([H:39])[C:15]1([H:32])[H:33].[n:1]1[c:5]([H:25])[c:7]([H:27])[c:11]([H:30])[n:12]1-[c:10]1[c:2]([H:24])[c:3]([Br:4])[c:6]([H:26])[c:8]([H:28])[c:9]1[H:29]>>[Br:4][B-:17]([F:18])([F:19])[F:20].[n:1]1[c:5]([H:25])[c:7]([H:27])[c:11]([H:30])[n:12]1-[c:10]1[c:2]([H:24])[c:3]([C:13]2([H:31])[O:14][C:16]([H:34])([H:35])[C:21]([H:36])([H:37])[C:22]([H:38])([H:39])[C:15]2([H:32])[H:33])[c:6]([H:26])[c:8]([H:28])[c:9]1[H:29],0
250,BF3K-Ni-photoredox,[C:16]1([B-:20]([F:21])([F:22])[F:23])([H:44])[O:17][C:19]([H:47])([H:48])[C:24]([H:49])([H:50])[C:25]([H:51])([H:52])[C:18]1([H:45])[H:46].[C:1]1([H:27])([H:28])[C:7]([H:32])([H:33])[N:10]([C:14]([H:41])([H:42])[H:43])[C:11]([H:35])([H:36])[C:13]([H:39])([H:40])[N:15]1[C:12]([c:8]1[c:6]([H:31])[c:5]([H:30])[c:3]([Br:4])[c:2]([H:29])[c:9]1[H:34])([H:37])[H:38]>>[Br:4][B-:20]([F:21])([F:22])[F:23].[C:1]1([H:27])([H:28])[C:7]([H:32])([H:33])[N:10]([C:14]([H:41])([H:42])[H:43])[C:11]([H:35])([H:36])[C:13]([H:39])([H:40])[N:15]1[C:12]([c:8]1[c:6]([H:31])[c:5]([H:30])[c:3]([C:16]2([H:44])[O:17][C:19]([H:47])([H:48])[C:24]([H:49])([H:50])[C:25]([H:51])([H:52])[C:18]2([H:45])[H:46])[c:2]([H:29])[c:9]1[H:34])([H:37])[H:38],0
251,COOH-Ni-photoredox,[C:1]1([H:25])([H:26])[C:7]([H:30])([H:31])[N:10]([C:14]([H:39])([H:40])[H:41])[C:11]([H:33])([H:34])[C:13]([H:37])([H:38])[N:15]1[C:12]([c:8]1[c:6]([H:29])[c:5]([H:28])[c:3]([Br:4])[c:2]([H:27])[c:9]1[H:32])([H:35])[H:36].[O:16]([C:17](=[O:18])[C:20]1([H:45])[O:21][C:23]([H:48])([H:49])[C:19]([H:43])([H:44])[C:22]([H:46])([H:47])[C:24]1([H:50])[H:51])[H:42]>>[Br:4][C:17]([O:16][H:42])=[O:18].[C:1]1([H:25])([H:26])[C:7]([H:30])([H:31])[N:10]([C:14]([H:39])([H:40])[H:41])[C:11]([H:33])([H:34])[C:13]([H:37])([H:38])[N:15]1[C:12]([c:8]1[c:6]([H:29])[c:5]([H:28])[c:3]([C:20]2([H:45])[O:21][C:23]([H:48])([H:49])[C:19]([H:43])([H:44])[C:22]([H:46])([H:47])[C:24]2([H:50])[H:51])[c:2]([H:27])[c:9]1[H:32])([H:35])[H:36],0
252,BF3K-Pd-Suzuki,[C:16]1([B-:20]([F:21])([F:22])[F:23])([H:44])[O:17][C:19]([H:47])([H:48])[C:24]([H:49])([H:50])[C:25]([H:51])([H:52])[C:18]1([H:45])[H:46].[C:1]1([H:27])([H:28])[C:7]([H:32])([H:33])[N:10]([C:14]([H:41])([H:42])[H:43])[C:11]([H:35])([H:36])[C:13]([H:39])([H:40])[N:15]1[C:12]([c:8]1[c:6]([H:31])[c:5]([H:30])[c:3]([Br:4])[c:2]([H:29])[c:9]1[H:34])([H:37])[H:38]>>[Br:4][B-:20]([F:21])([F:22])[F:23].[C:1]1([H:27])([H:28])[C:7]([H:32])([H:33])[N:10]([C:14]([H:41])([H:42])[H:43])[C:11]([H:35])([H:36])[C:13]([H:39])([H:40])[N:15]1[C:12]([c:8]1[c:6]([H:31])[c:5]([H:30])[c:3]([C:16]2([H:44])[O:17][C:19]([H:47])([H:48])[C:24]([H:49])([H:50])[C:25]([H:51])([H:52])[C:18]2([H:45])[H:46])[c:2]([H:29])[c:9]1[H:34])([H:37])[H:38],0
253,BF3K-Ni-photoredox,[C:1]([C:6]([H:35])([H:36])[H:37])([C:13]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[O:22][C:18]([C:15]([N:14]1[C:12]([H:40])([H:41])[C:11]([C:21]([H:54])([H:55])[H:56])([H:39])[N:10]([c:4]2[n:3][c:2]([H:34])[c:8]([Br:9])[c:7]([H:38])[n:5]2)[C:20]([H:52])([H:53])[C:19]1([H:50])[H:51])=[O:17])([H:48])[H:49].[C:23]1([B-:27]([F:28])([F:29])[F:30])([H:57])[O:24][C:26]([H:60])([H:61])[C:31]([H:62])([H:63])[C:32]([H:64])([H:65])[C:25]1([H:58])[H:59]>>[Br:9][B-:27]([F:28])([F:29])[F:30].[C:1]([C:6]([H:35])([H:36])[H:37])([C:13]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[O:22][C:18]([C:15]([N:14]1[C:12]([H:40])([H:41])[C:11]([C:21]([H:54])([H:55])[H:56])([H:39])[N:10]([c:4]2[n:3][c:2]([H:34])[c:8]([C:23]3([H:57])[O:24][C:26]([H:60])([H:61])[C:31]([H:62])([H:63])[C:32]([H:64])([H:65])[C:25]3([H:58])[H:59])[c:7]([H:38])[n:5]2)[C:20]([H:52])([H:53])[C:19]1([H:50])[H:51])=[O:17])([H:48])[H:49],0
254,COOH-Ni-photoredox,[C:1]([C:6]([H:33])([H:34])[H:35])([C:13]([H:40])([H:41])[H:42])([C:16]([H:43])([H:44])[H:45])[O:22][C:18]([C:15]([N:14]1[C:12]([H:38])([H:39])[C:11]([C:21]([H:52])([H:53])[H:54])([H:37])[N:10]([c:4]2[n:3][c:2]([H:32])[c:8]([Br:9])[c:7]([H:36])[n:5]2)[C:20]([H:50])([H:51])[C:19]1([H:48])[H:49])=[O:17])([H:46])[H:47].[O:23]([C:24](=[O:25])[C:27]1([H:58])[O:28][C:30]([H:61])([H:62])[C:26]([H:56])([H:57])[C:29]([H:59])([H:60])[C:31]1([H:63])[H:64])[H:55]>>[Br:9][C:24]([O:23][H:55])=[O:25].[C:1]([C:6]([H:33])([H:34])[H:35])([C:13]([H:40])([H:41])[H:42])([C:16]([H:43])([H:44])[H:45])[O:22][C:18]([C:15]([N:14]1[C:12]([H:38])([H:39])[C:11]([C:21]([H:52])([H:53])[H:54])([H:37])[N:10]([c:4]2[n:3][c:2]([H:32])[c:8]([C:27]3([H:58])[O:28][C:30]([H:61])([H:62])[C:26]([H:56])([H:57])[C:29]([H:59])([H:60])[C:31]3([H:63])[H:64])[c:7]([H:36])[n:5]2)[C:20]([H:50])([H:51])[C:19]1([H:48])[H:49])=[O:17])([H:46])[H:47],0
255,BF3K-Pd-Suzuki,[C:1]([C:6]([H:35])([H:36])[H:37])([C:13]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[O:22][C:18]([C:15]([N:14]1[C:12]([H:40])([H:41])[C:11]([C:21]([H:54])([H:55])[H:56])([H:39])[N:10]([c:4]2[n:3][c:2]([H:34])[c:8]([Br:9])[c:7]([H:38])[n:5]2)[C:20]([H:52])([H:53])[C:19]1([H:50])[H:51])=[O:17])([H:48])[H:49].[C:23]1([B-:27]([F:28])([F:29])[F:30])([H:57])[O:24][C:26]([H:60])([H:61])[C:31]([H:62])([H:63])[C:32]([H:64])([H:65])[C:25]1([H:58])[H:59]>>[Br:9][B-:27]([F:28])([F:29])[F:30].[C:1]([C:6]([H:35])([H:36])[H:37])([C:13]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[O:22][C:18]([C:15]([N:14]1[C:12]([H:40])([H:41])[C:11]([C:21]([H:54])([H:55])[H:56])([H:39])[N:10]([c:4]2[n:3][c:2]([H:34])[c:8]([C:23]3([H:57])[O:24][C:26]([H:60])([H:61])[C:31]([H:62])([H:63])[C:32]([H:64])([H:65])[C:25]3([H:58])[H:59])[c:7]([H:38])[n:5]2)[C:20]([H:52])([H:53])[C:19]1([H:50])[H:51])=[O:17])([H:48])[H:49],0
256,BF3K-Ni-photoredox,[C:16]1([B-:20]([F:21])([F:22])[F:23])([H:34])[O:17][C:19]([H:37])([H:38])[C:24]([H:39])([H:40])[C:25]([H:41])([H:42])[C:18]1([H:35])[H:36].[c:1]1([H:27])[c:2]([Br:3])[c:4]([H:28])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:31])[C:15]([H:32])([H:33])[O:14][C:11]([H:29])([H:30])[C:7]3=[O:10]>>[Br:3][B-:20]([F:21])([F:22])[F:23].[c:1]1([H:27])[c:2]([C:16]2([H:34])[O:17][C:19]([H:37])([H:38])[C:24]([H:39])([H:40])[C:25]([H:41])([H:42])[C:18]2([H:35])[H:36])[c:4]([H:28])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:31])[C:15]([H:32])([H:33])[O:14][C:11]([H:29])([H:30])[C:7]3=[O:10],0
257,COOH-Ni-photoredox,[O:16]([C:17](=[O:18])[C:20]1([H:35])[O:21][C:23]([H:38])([H:39])[C:19]([H:33])([H:34])[C:22]([H:36])([H:37])[C:24]1([H:40])[H:41])[H:32].[c:1]1([H:25])[c:2]([Br:3])[c:4]([H:26])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:29])[C:15]([H:30])([H:31])[O:14][C:11]([H:27])([H:28])[C:7]3=[O:10]>>[Br:3][C:17]([O:16][H:32])=[O:18].[c:1]1([H:25])[c:2]([C:20]2([H:35])[O:21][C:23]([H:38])([H:39])[C:19]([H:33])([H:34])[C:22]([H:36])([H:37])[C:24]2([H:40])[H:41])[c:4]([H:26])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:29])[C:15]([H:30])([H:31])[O:14][C:11]([H:27])([H:28])[C:7]3=[O:10],0
258,BF3K-Ni-photoredox,[C:1]1([B-:11]([F:12])([F:14])[F:15])([H:30])[N:2]([C:3](=[O:4])[O:5][C:6]([C:8]([H:33])([H:34])[H:35])([C:13]([H:40])([H:41])[H:42])[C:16]([H:43])([H:44])[H:45])[C:7]([H:31])([H:32])[C:9]([H:36])([H:37])[C:10]1([H:38])[H:39].[n:17]1[c:21]([H:47])[c:23]([H:49])[c:27]([H:52])[n:28]1-[c:26]1[c:18]([H:46])[c:19]([Br:20])[c:22]([H:48])[c:24]([H:50])[c:25]1[H:51]>>[B-:11]([F:12])([F:14])([F:15])[Br:20].[C:1]1([c:19]2[c:18]([H:46])[c:26](-[n:28]3[n:17][c:21]([H:47])[c:23]([H:49])[c:27]3[H:52])[c:25]([H:51])[c:24]([H:50])[c:22]2[H:48])([H:30])[N:2]([C:3](=[O:4])[O:5][C:6]([C:8]([H:33])([H:34])[H:35])([C:13]([H:40])([H:41])[H:42])[C:16]([H:43])([H:44])[H:45])[C:7]([H:31])([H:32])[C:9]([H:36])([H:37])[C:10]1([H:38])[H:39],0
259,COOH-Ni-photoredox,[C:1]([C:11]([O:9][C:7]([N:6]1[C:5]([C:3]([O:2][H:31])=[O:4])([H:32])[C:15]([H:43])([H:44])[C:14]([H:41])([H:42])[C:13]1([H:39])[H:40])=[O:8])([C:10]([H:33])([H:34])[H:35])[C:12]([H:36])([H:37])[H:38])([H:28])([H:29])[H:30].[n:16]1[c:20]([H:46])[c:22]([H:48])[c:26]([H:51])[n:27]1-[c:25]1[c:17]([H:45])[c:18]([Br:19])[c:21]([H:47])[c:23]([H:49])[c:24]1[H:50]>>[C:1]([C:11]([O:9][C:7]([N:6]1[C:5]([c:3]2[c:17]([H:45])[c:25](-[n:27]3[n:16][c:20]([H:46])[c:22]([H:48])[c:26]3[H:51])[c:24]([H:50])[c:23]([H:49])[c:21]2[H:47])([H:32])[C:15]([H:43])([H:44])[C:14]([H:41])([H:42])[C:13]1([H:39])[H:40])=[O:8])([C:10]([H:33])([H:34])[H:35])[C:12]([H:36])([H:37])[H:38])([H:28])([H:29])[H:30].[O:2]([C:18](=[O:4])[Br:19])[H:31],0
